id,question,sparql_gold,sparql_wrong,error_types,sub_error_types,prompt,raw_json,valid_generation,issue,classification_raw_json,classification_issue
q161,Give me all films produced by Hal Roach.,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> },SELECT DISTINCT ?uri WHERE  ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> },['syntax'],['missing or mismatched braces'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q161"",
  ""question"": ""Give me all films produced by Hal Roach."",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> }""
}

Output format:
{
  ""id"": ""q161"",
  ""question"": ""Give me all films produced by Hal Roach."",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q161"",
  ""question"": ""Give me all films produced by Hal Roach."",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE  ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q161"",
  ""sub_error_types"": [""missing or mismatched braces""]
}",none
q164,Give me a list of all bandleaders that play trumpet.,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> ; <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> },SELECT DISTINCT ?uri WHERE  ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> ; <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> },['syntax'],['missing or mismatched braces'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q164"",
  ""question"": ""Give me a list of all bandleaders that play trumpet."",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> ; <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> }""
}

Output format:
{
  ""id"": ""q164"",
  ""question"": ""Give me a list of all bandleaders that play trumpet."",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> ; <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q164"",
  ""question"": ""Give me a list of all bandleaders that play trumpet."",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE  ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> ; <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> ; <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q164"",
  ""sub_error_types"": [""missing or mismatched braces""]
}",none
q173,Give me all cities in New Jersey with more than 100000 inhabitants.,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City ; dbo:isPartOf res:New_Jersey ; dbo:populationTotal ?inhabitants FILTER ( ?inhabitants > 100000 ) },PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE ?uri rdf:type dbo:City ; dbo:isPartOf res:New_Jersey ; dbo:populationTotal ?inhabitants FILTER ( ?inhabitants > 100000 ) },['syntax'],['missing or mismatched braces'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q173"",
  ""question"": ""Give me all cities in New Jersey with more than 100000 inhabitants."",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City ; dbo:isPartOf res:New_Jersey ; dbo:populationTotal ?inhabitants FILTER ( ?inhabitants > 100000 ) }""
}

Output format:
{
  ""id"": ""q173"",
  ""question"": ""Give me all cities in New Jersey with more than 100000 inhabitants."",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City ; dbo:isPartOf res:New_Jersey ; dbo:populationTotal ?inhabitants FILTER ( ?inhabitants > 100000 ) }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q173"",
  ""question"": ""Give me all cities in New Jersey with more than 100000 inhabitants."",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE ?uri rdf:type dbo:City ; dbo:isPartOf res:New_Jersey ; dbo:populationTotal ?inhabitants FILTER ( ?inhabitants > 100000 ) }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City ; dbo:isPartOf res:New_Jersey ; dbo:populationTotal ?inhabitants FILTER ( ?inhabitants > 100000 ) }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q173"",
  ""sub_error_types"": [""missing or mismatched braces""]
}",none
q214,Are tree frogs a type of amphibian?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Hylidae dbo:class res:Amphibian },PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE res:Hylidae dbo:class res:Amphibian },['syntax'],['missing or mismatched braces'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q214"",
  ""question"": ""Are tree frogs a type of amphibian?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Hylidae dbo:class res:Amphibian }""
}

Output format:
{
  ""id"": ""q214"",
  ""question"": ""Are tree frogs a type of amphibian?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Hylidae dbo:class res:Amphibian }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q214"",
  ""question"": ""Are tree frogs a type of amphibian?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE res:Hylidae dbo:class res:Amphibian }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Hylidae dbo:class res:Amphibian }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q214"",
  ""sub_error_types"": [""missing or mismatched braces""]
}",none
q215,What is the location of the Houses of Parliament?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?uri WHERE { res:Palace_of_Westminster dbo:location ?uri },PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?uri WHERE res:Palace_of_Westminster dbo:location ?uri },['syntax'],['missing or mismatched braces'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q215"",
  ""question"": ""What is the location of the Houses of Parliament?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?uri WHERE { res:Palace_of_Westminster dbo:location ?uri }""
}

Output format:
{
  ""id"": ""q215"",
  ""question"": ""What is the location of the Houses of Parliament?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?uri WHERE { res:Palace_of_Westminster dbo:location ?uri }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q215"",
  ""question"": ""What is the location of the Houses of Parliament?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?uri WHERE res:Palace_of_Westminster dbo:location ?uri }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?uri WHERE { res:Palace_of_Westminster dbo:location ?uri }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q215"",
  ""sub_error_types"": [""missing or mismatched braces""]
}",none
q229,Who is 8th president of US?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?name WHERE { dbr:8th_President_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name },PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?name WHERE dbr:8th_President_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name },['syntax'],['missing or mismatched braces'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q229"",
  ""question"": ""Who is 8th president of US?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?name WHERE { dbr:8th_President_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name }""
}

Output format:
{
  ""id"": ""q229"",
  ""question"": ""Who is 8th president of US?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?name WHERE { dbr:8th_President_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q229"",
  ""question"": ""Who is 8th president of US?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?name WHERE dbr:8th_President_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?name WHERE { dbr:8th_President_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q229"",
  ""sub_error_types"": [""missing or mismatched braces""]
}",none
q230,how much is the total population of european union?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop },PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?europop WHERE dbr:European_Union dbo:populationTotal ?europop },['syntax'],['missing or mismatched braces'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q230"",
  ""question"": ""how much is the total population of european union?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop }""
}

Output format:
{
  ""id"": ""q230"",
  ""question"": ""how much is the total population of european union?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q230"",
  ""question"": ""how much is the total population of european union?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?europop WHERE dbr:European_Union dbo:populationTotal ?europop }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q230"",
  ""sub_error_types"": [""missing or mismatched braces""]
}",none
q234,What is the population of Cairo?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?pop WHERE { dbr:Cairo dbo:populationTotal ?pop },PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?pop WHERE dbr:Cairo dbo:populationTotal ?pop },['syntax'],['missing or mismatched braces'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q234"",
  ""question"": ""What is the population of Cairo?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?pop WHERE { dbr:Cairo dbo:populationTotal ?pop }""
}

Output format:
{
  ""id"": ""q234"",
  ""question"": ""What is the population of Cairo?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?pop WHERE { dbr:Cairo dbo:populationTotal ?pop }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q234"",
  ""question"": ""What is the population of Cairo?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?pop WHERE dbr:Cairo dbo:populationTotal ?pop }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?pop WHERE { dbr:Cairo dbo:populationTotal ?pop }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q234"",
  ""sub_error_types"": [""missing or mismatched braces""]
}",none
q235,Is Frank Herbert still alive?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { OPTIONAL { res:Frank_Herbert dbo:deathDate ?date } FILTER ( ! bound(?date) ) },PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { OPTIONAL { res:Frank_Herbert dbo:deathDate ?date  FILTER ( ! bound(?date) ) },['syntax'],['missing or mismatched braces'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q235"",
  ""question"": ""Is Frank Herbert still alive?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { OPTIONAL { res:Frank_Herbert dbo:deathDate ?date } FILTER ( ! bound(?date) ) }""
}

Output format:
{
  ""id"": ""q235"",
  ""question"": ""Is Frank Herbert still alive?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { OPTIONAL { res:Frank_Herbert dbo:deathDate ?date } FILTER ( ! bound(?date) ) }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q235"",
  ""question"": ""Is Frank Herbert still alive?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { OPTIONAL { res:Frank_Herbert dbo:deathDate ?date  FILTER ( ! bound(?date) ) }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { OPTIONAL { res:Frank_Herbert dbo:deathDate ?date } FILTER ( ! bound(?date) ) }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q235"",
  ""sub_error_types"": [""missing or mismatched braces""]
}",none
q244,How often did Jane Fonda marry?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Jane_Fonda dbo:spouse ?uri },PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c WHERE { res:Jane_Fonda dbo:spouse ?uri },['syntax'],['missing parentheses'],"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- MUST derive from gold query with minimal modification
- MUST NOT be identical to gold query
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q244"",
  ""question"": ""How often did Jane Fonda marry?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Jane_Fonda dbo:spouse ?uri }""
}

Output format:
{
  ""id"": ""q244"",
  ""question"": ""How often did Jane Fonda marry?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Jane_Fonda dbo:spouse ?uri }"",
  ""error_types"": [""syntax""]
}
","{
  ""id"": ""q244"",
  ""question"": ""How often did Jane Fonda marry?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c WHERE { res:Jane_Fonda dbo:spouse ?uri }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Jane_Fonda dbo:spouse ?uri }"",
  ""error_types"": [""syntax""]
}",yes,none,"{
  ""id"": ""q244"",
  ""sub_error_types"": [""missing parentheses""]
}",none
